"id","region","hemisphere","region2","voisize","idxregion","dreadd","tracer","day","value","deltaBP","deltaBPpeak","ratio","diffBP","serotype","serotype2","promoter","promoter2","dreadd.1","tag","IRES2A","tag2","DayFromLast","CumulativeActivation","JustAfterActivation","vector","titer","genome","age","sex","seropro","species","year","period","serotype3","lastPET"
"255c","R_VPL","R","VPL","small","255c_R_VPL","hM3Dq","DCZ",260,1.726446085,1.726446085,2.741473955,63,-1.01502787,"AAV2","AAV2","hSynI","hSyn","hM3Dq","none","none","none",138,1,NA,"AAV2-hSyn-hM3Dq",1.8,5.4,5.3,"male","AAV2-Syn","cynomolgus",0.711841204654346,1,"other",1.8425735797399
"255c","R_VPL","R","VPL","small","255c_R_VPL","hM3Dq","DCZ",331,1.147458276,1.147458276,2.741473955,41.9,-1.594015679,"AAV2","AAV2","hSynI","hSyn","hM3Dq","none","none","none",209,1,NA,"AAV2-hSyn-hM3Dq",1.8,5.4,5.5,"male","AAV2-Syn","cynomolgus",0.906228610540726,1,"other",1.8425735797399
"255c","R_VPL","R","VPL","small","255c_R_VPL","hM3Dq","DCZ",366,1.276134073,1.276134073,2.741473955,46.5,-1.465339882,"AAV2","AAV2","hSynI","hSyn","hM3Dq","none","none","none",244,1,NA,"AAV2-hSyn-hM3Dq",1.8,5.4,5.6,"male","AAV2-Syn","cynomolgus",1.00205338809035,1.5,"other",1.8425735797399
"255c","R_VPL","R","VPL","small","255c_R_VPL","hM3Dq","DCZ",673,1.410044902,1.410044902,2.741473955,51.4,-1.331429053,"AAV2","AAV2","hSynI","hSyn","hM3Dq","none","none","none",551,1,NA,"AAV2-hSyn-hM3Dq",1.8,5.4,6.5,"male","AAV2-Syn","cynomolgus",1.8425735797399,2,"other",1.8425735797399
"255c","L_VPL","L","VPL","small","255c_L_VPL","hM3Dq","DCZ",44,1.061263462,1.061263462,1.061263462,100,0,"AAV5","AAV5","Syn1","hSyn","hM3Dq","HA","none","5'-HA",0,0,"NA","AAV5-hSyn-HA-hM3Dq",2.7,8.1,4.8,"male","AAV5-Syn","cynomolgus",0.120465434633812,0.22,"other",1.8425735797399
"255c","L_VPL","L","VPL","small","255c_L_VPL","hM3Dq","DCZ",115,0.312505034,0.312505034,1.061263462,29.4,-0.748758428,"AAV5","AAV5","Syn1","hSyn","hM3Dq","HA","none","5'-HA",0,0,"NA","AAV5-hSyn-HA-hM3Dq",2.7,8.1,5,"male","AAV5-Syn","cynomolgus",0.314852840520192,0.5,"other",1.8425735797399
"255c","L_VPL","L","VPL","small","255c_L_VPL","hM3Dq","DCZ",134,0.385421752,0.385421752,1.061263462,36.3,-0.67584171,"AAV5","AAV5","Syn1","hSyn","hM3Dq","HA","none","5'-HA",12,1,"1","AAV5-hSyn-HA-hM3Dq",2.7,8.1,5,"male","AAV5-Syn","cynomolgus",0.366872005475702,0.5,"other",1.8425735797399
"255c","L_VPL","L","VPL","small","255c_L_VPL","hM3Dq","DCZ",260,0.423776674,0.423776674,1.061263462,39.9,-0.637486788,"AAV5","AAV5","Syn1","hSyn","hM3Dq","HA","none","5'-HA",138,1,NA,"AAV5-hSyn-HA-hM3Dq",2.7,8.1,5.3,"male","AAV5-Syn","cynomolgus",0.711841204654346,1,"other",1.8425735797399
"255c","L_VPL","L","VPL","small","255c_L_VPL","hM3Dq","DCZ",331,0.378906988,0.378906988,1.061263462,35.7,-0.682356474,"AAV5","AAV5","Syn1","hSyn","hM3Dq","HA","none","5'-HA",209,1,NA,"AAV5-hSyn-HA-hM3Dq",2.7,8.1,5.5,"male","AAV5-Syn","cynomolgus",0.906228610540726,1,"other",1.8425735797399
"255c","L_VPL","L","VPL","small","255c_L_VPL","hM3Dq","DCZ",366,0.346260203,0.346260203,1.061263462,32.6,-0.715003259,"AAV5","AAV5","Syn1","hSyn","hM3Dq","HA","none","5'-HA",244,1,NA,"AAV5-hSyn-HA-hM3Dq",2.7,8.1,5.6,"male","AAV5-Syn","cynomolgus",1.00205338809035,1.5,"other",1.8425735797399
"255c","L_VPL","L","VPL","small","255c_L_VPL","hM3Dq","DCZ",673,0.288286865,0.288286865,1.061263462,27.2,-0.772976597,"AAV5","AAV5","Syn1","hSyn","hM3Dq","HA","none","5'-HA",551,1,NA,"AAV5-hSyn-HA-hM3Dq",2.7,8.1,6.5,"male","AAV5-Syn","cynomolgus",1.8425735797399,2,"other",1.8425735797399
"212r","R_Put","R","Put","small","212r_R_Put","hM4Di","DCZ",63,2.316930749,1.951450984,1.951450984,100,0,"AAV2","AAV2","CMV","CMV","hM4Di","none","none","none",NA,NA,"NA","AAV2-CMV-hM4Di",2.6,15.6,8.7,"female","AAV2-CMV","rhesus",0.172484599589322,0.22,"other",3.91238877481177
"212r","R_Put","R","Put","small","212r_R_Put","hM4Di","DCZ",178,2.265637102,1.900157337,1.951450984,97.4,-0.0512936470000001,"AAV2","AAV2","CMV","CMV","hM4Di","none","none","none",NA,NA,"NA","AAV2-CMV-hM4Di",2.6,15.6,9.1,"female","AAV2-CMV","rhesus",0.487337440109514,0.5,"other",3.91238877481177
"212r","R_Put","R","Put","small","212r_R_Put","hM4Di","DCZ",462,2.547053068,2.181573303,1.951450984,111.8,0.230122319,"AAV2","AAV2","CMV","CMV","hM4Di","none","none","none",NA,NA,"NA","AAV2-CMV-hM4Di",2.6,15.6,9.9,"female","AAV2-CMV","rhesus",1.26488706365503,1.5,"other",3.91238877481177
"212r","R_Put","R","Put","small","212r_R_Put","hM4Di","DCZ",967,1.114449338,0.748969573,1.951450984,38.4,-1.202481411,"AAV2","AAV2","CMV","CMV","hM4Di","none","none","none",NA,NA,"NA","AAV2-CMV-hM4Di",2.6,15.6,11.3,"female","AAV2-CMV","rhesus",2.64750171115674,3,"other",3.91238877481177
"212r","R_Put","R","Put","small","212r_R_Put","hM4Di","DCZ",1429,0.793313211,0.427833446,1.951450984,21.9,-1.523617538,"AAV2","AAV2","CMV","CMV","hM4Di","none","none","none",NA,NA,"NA","AAV2-CMV-hM4Di",2.6,15.6,12.5,"female","AAV2-CMV","rhesus",3.91238877481177,4,"other",3.91238877481177
"221j","R_rmCD","R","rmCD","small","221j_R_rmCD","hM4Di","DCZ",57,0.889666862,0.505731419,0.505731419,100,0,"AAV2","AAV2","CMV","CMV","hM4Di","none","none","none",NA,NA,"NA","AAV2-CMV-hM4Di",2.6,7.8,5.1,"male","AAV2-CMV","japanese",0.15605749486653,0.22,"other",0.386036960985626
"221j","R_rmCD","R","rmCD","small","221j_R_rmCD","hM4Di","DCZ",141,0.950313646,0.566378203,0.505731419,112,0.060646784,"AAV2","AAV2","CMV","CMV","hM4Di","none","none","none",NA,NA,"NA","AAV2-CMV-hM4Di",2.6,7.8,5.3,"male","AAV2-CMV","japanese",0.386036960985626,0.5,"other",0.386036960985626
"229r","R_dlPFC","R","dlPFC","small","229r_R_dlPFC","hM4Di","DCZ",50,3.109348158,1.641272836,1.641272836,100,0,"AAV2.1","AAV2.1","hSynI","hSyn","hM4Di","AcGFP","IRES","IRES-AcGFP",NA,NA,"NA","AAV2.1-hSyn-hM4Di-IRES-AcGFP",4.7,165,4.7,"male","AAV2.1-Syn","rhesus",0.136892539356605,0.22,"AAV2.1",1.0321697467488
"229r","R_dlPFC","R","dlPFC","small","229r_R_dlPFC","hM4Di","DCZ",377,3.136408998,1.668333676,1.641272836,101.6,0.0270608399999999,"AAV2.1","AAV2.1","hSynI","hSyn","hM4Di","AcGFP","IRES","IRES-AcGFP",NA,NA,"NA","AAV2.1-hSyn-hM4Di-IRES-AcGFP",4.7,165,5.6,"male","AAV2.1-Syn","rhesus",1.0321697467488,1.5,"AAV2.1",1.0321697467488
"234j","R-S1","R","S1","small","234j_R_S1","hM4Di","DCZ",44,2.101286837,1.494015335,1.494015335,100,0,"AAV2.1","AAV2.1","hSynI","hSyn","hM4Di","AcGFP","IRES","IRES-AcGFP",NA,NA,"NA","AAV2.1-hSyn-hM4Di-IRES-AcGFP",3.8,15.2,5.2,"male","AAV2.1-Syn","japanese",0.120465434633812,0.22,"AAV2.1",2.87748117727584
"234j","R-S1","R","S1","small","234j_R_S1","hM4Di","DCZ",1051,0.699997279,0.092725777,1.494015335,6.2,-1.401289558,"AAV2.1","AAV2.1","hSynI","hSyn","hM4Di","AcGFP","IRES","IRES-AcGFP",NA,NA,"NA","AAV2.1-hSyn-hM4Di-IRES-AcGFP",3.8,15.2,8,"male","AAV2.1-Syn","japanese",2.87748117727584,3,"AAV2.1",2.87748117727584
"237j","R-Amyg","R","Amyg","small","237j_R_Amyg","hM4Di","DCZ",42,1.030195429,0.822366958,0.822366958,100,0,"AAV2.1","AAV2.1","hSynI","hSyn","hM4Di","AcGFP","IRES","IRES-AcGFP",NA,NA,"NA","AAV2.1-hSyn-hM4Di-IRES-AcGFP",4.7,18.8,6.1,"male","AAV2.1-Syn","japanese",0.114989733059548,0.22,"AAV2.1",3.11841204654346
"237j","R-Amyg","R","Amyg","small","237j_R_Amyg","hM4Di","DCZ",496,1.136043552,0.928215081,0.822366958,112.9,0.105848123,"AAV2.1","AAV2.1","hSynI","hSyn","hM4Di","AcGFP","IRES","IRES-AcGFP",NA,NA,"NA","AAV2.1-hSyn-hM4Di-IRES-AcGFP",4.7,18.8,7.3,"male","AAV2.1-Syn","japanese",1.35797399041752,1.5,"AAV2.1",3.11841204654346
"237j","R-Amyg","R","Amyg","small","237j_R_Amyg","hM4Di","DCZ",978,0.929941977,0.722113506,0.822366958,87.8,-0.100253452,"AAV2.1","AAV2.1","hSynI","hSyn","hM4Di","AcGFP","IRES","IRES-AcGFP",NA,NA,"NA","AAV2.1-hSyn-hM4Di-IRES-AcGFP",4.7,18.8,8.6,"male","AAV2.1-Syn","japanese",2.6776180698152,3,"AAV2.1",3.11841204654346
"237j","R-Amyg","R","Amyg","small","237j_R_Amyg","hM4Di","DCZ",1139,0.521628391,0.31379992,0.822366958,38.2,-0.508567038,"AAV2.1","AAV2.1","hSynI","hSyn","hM4Di","AcGFP","IRES","IRES-AcGFP",NA,NA,"NA","AAV2.1-hSyn-hM4Di-IRES-AcGFP",4.7,18.8,9.1,"male","AAV2.1-Syn","japanese",3.11841204654346,3.5,"AAV2.1",3.11841204654346
"238j","R-OFC","R","OFC","small","238j_R_OFC","hM4Di","DCZ",43,2.559772199,1.743214771,1.743214771,100,0,"AAV2.1","AAV2.1","CaMKII","CaMKII","hM4Di","AcGFP","IRES","IRES-AcGFP",NA,NA,"NA","AAV2.1-CaMKII-hM4Di-IRES-AcGFP",2.58,49,4.8,"male","AAV2.1-CaMKII","japanese",0.11772758384668,0.22,"AAV2.1",0.487337440109514
"238j","R-OFC","R","OFC","small","238j_R_OFC","hM4Di","DCZ",178,2.595443201,1.778885773,1.743214771,102,0.035671002,"AAV2.1","AAV2.1","CaMKII","CaMKII","hM4Di","AcGFP","IRES","IRES-AcGFP",NA,NA,"NA","AAV2.1-CaMKII-hM4Di-IRES-AcGFP",2.58,49,5.2,"male","AAV2.1-CaMKII","japanese",0.487337440109514,0.5,"AAV2.1",0.487337440109514
"238j","L-OFC","L","OFC","small","238j_L_OFC","hM4Di","DCZ",43,1.696605662,1.116246819,1.116246819,100,0,"AAV2.1","AAV2.1","CaMKII","CaMKII","hM4Di","AcGFP","IRES","IRES-AcGFP",NA,NA,"NA","AAV2.1-CaMKII-hM4Di-IRES-AcGFP",2.58,53,4.8,"male","AAV2.1-CaMKII","japanese",0.11772758384668,0.22,"AAV2.1",0.487337440109514
"238j","L-OFC","L","OFC","small","238j_L_OFC","hM4Di","DCZ",178,1.903966191,1.323607348,1.116246819,118.6,0.207360529,"AAV2.1","AAV2.1","CaMKII","CaMKII","hM4Di","AcGFP","IRES","IRES-AcGFP",NA,NA,"NA","AAV2.1-CaMKII-hM4Di-IRES-AcGFP",2.58,53,5.2,"male","AAV2.1-CaMKII","japanese",0.487337440109514,0.5,"AAV2.1",0.487337440109514
