"subject","id","moid","years","years2","exam2","tracer","activation","route","protein1","protein2"
"229","229R","#229",1.59342915811088,0.824093086926763,"Behavior",NA,0,"micro infusion","hM4Di",NA
"234","234J","#234",0.120465434633812,NA,"PET","DCZ",NA,NA,"hM4Di",NA
"245","245J","#245",0.114989733059548,NA,"PET","DCZ",NA,NA,"hM4Di",NA
"229","229R","#229",1.59616700889802,0.826830937713895,"Behavior",NA,1,"micro infusion","hM4Di",NA
"229","229R","#229",1.60438056125941,0.835044490075291,"Behavior",NA,1,"micro infusion","hM4Di",NA
"229","229R","#229",1.60711841204654,0.837782340862423,"Behavior",NA,1,"micro infusion","hM4Di",NA
"229","229R","#229",1.60985626283368,0.840520191649555,"Behavior",NA,0,"micro infusion","hM4Di",NA
"229","229R","#229",1.62354551676934,0.854209445585216,"Behavior",NA,1,"micro infusion","hM4Di",NA
"229","229R","#229",1.62628336755647,0.856947296372348,"Behavior",NA,0,"micro infusion","hM4Di",NA
"229","229R","#229",1.6290212183436,0.85968514715948,"Behavior",NA,0,"micro infusion","hM4Di",NA
"229","229R","#229",1.63175906913073,0.862422997946612,"Behavior",NA,1,"micro infusion","hM4Di",NA
"229","229R","#229",1.63449691991786,0.865160848733744,"Behavior",NA,1,"micro infusion","hM4Di",NA
"229","229R","#229",1.64271047227926,0.87337440109514,"Behavior",NA,1,"micro infusion","hM4Di",NA
"229","229R","#229",1.64544832306639,0.876112251882272,"Behavior",NA,1,"micro infusion","hM4Di",NA
"229","229R","#229",1.65092402464066,0.881587953456537,"Behavior",NA,1,"micro infusion","hM4Di",NA
"229","229R","#229",1.67282683093771,0.903490759753593,"Behavior",NA,1,"micro infusion","hM4Di",NA
"229","229R","#229",1.68104038329911,0.91170431211499,"Behavior",NA,1,"micro infusion","hM4Di",NA
"229","229R","#229",1.68925393566051,0.919917864476386,"Behavior",NA,1,"micro infusion","hM4Di",NA
"229","229R","#229",1.69199178644764,0.922655715263518,"Behavior",NA,1,"micro infusion","hM4Di",NA
"241","241J","#241",0.980150581793292,NA,"PET","DCZ",NA,NA,"hM3Dq",NA
"241","241J","#241",0.999315537303217,NA,"PET","FDG",1,"i.v.","hM3Dq",NA
"229","229R","#229",1.86173853524983,1.09240246406571,"Behavior",NA,1,"micro infusion","hM4Di",NA
"229","229R","#229",1.87542778918549,1.10609171800137,"Behavior",NA,1,"micro infusion","hM4Di",NA
"229","229R","#229",1.90006844626968,1.13073237508556,"Behavior",NA,1,"p.o.","hM4Di",NA
"229","229R","#229",1.90280629705681,1.13347022587269,"Behavior",NA,0,"p.o.","hM4Di",NA
"229","229R","#229",1.91375770020534,1.14442162902122,"Behavior",NA,0,"p.o.","hM4Di",NA
"229","229R","#229",1.91649555099247,1.14715947980835,"Behavior",NA,1,"p.o.","hM4Di",NA
"229","229R","#229",1.92197125256674,1.15263518138261,"Behavior",NA,0,"p.o.","hM4Di",NA
"229","229R","#229",1.93018480492813,1.16084873374401,"Behavior",NA,1,"p.o.","hM4Di",NA
"229","229R","#229",1.93839835728953,1.16906228610541,"Behavior",NA,1,"p.o.","hM4Di",NA
"229","229R","#229",1.94934976043806,1.18001368925394,"Behavior",NA,1,"p.o.","hM4Di",NA
"241","241J","#241",1.11156741957563,NA,"euthanize",NA,NA,NA,"hM3Dq",NA
"236","236J","#236",1.48665297741273,NA,"Behavior",NA,1,NA,"hM3Dq",NA
"229","229R","#229",1.95482546201232,1.1854893908282,"Behavior",NA,0,"p.o.","hM4Di",NA
"229","229R","#229",1.95756331279945,1.18822724161533,"Behavior",NA,1,"p.o.","hM4Di",NA
"229","229R","#229",1.96851471594798,1.19917864476386,"Behavior",NA,1,"p.o.","hM4Di",NA
"236","236J","#236",1.50581793292266,NA,"Behavior",NA,1,NA,"hM3Dq",NA
"229","229R","#229",1.97946611909651,1.21013004791239,"Behavior",NA,1,"p.o.","hM4Di",NA
"236","236J","#236",1.52772073921971,NA,"Behavior",NA,1,NA,"hM3Dq",NA
"225","225J","#225",1.81519507186858,NA,"euthanize",NA,NA,NA,"hM4Di",NA
"236","236J","#236",1.54414784394251,NA,"Behavior",NA,1,NA,"hM3Dq",NA
"229","229R","#229",2.01779603011636,1.24845995893224,"Behavior",NA,1,"p.o.","hM4Di",NA
"218","218J","#218",3.21697467488022,NA,"euthanize",NA,NA,NA,"hM4Di",NA
"236","236J","#236",1.56878850102669,NA,"Behavior",NA,1,NA,"hM3Dq",NA
"229","229R","#229",2.03696098562628,1.26762491444216,"Behavior",NA,1,"p.o.","hM4Di",NA
"229","229R","#229",2.06981519507187,1.30047912388775,"Behavior",NA,1,"p.o.","hM4Di",NA
"229","229R","#229",2.08898015058179,1.31964407939767,"Behavior",NA,1,"p.o.","hM4Di",NA
"236","236J","#236",1.62354551676934,NA,"Behavior",NA,1,NA,"hM3Dq",NA
"229","229R","#229",2.10266940451745,1.33333333333333,"Behavior",NA,1,"i.m.","hM4Di",NA
"236","236J","#236",1.64271047227926,NA,"Behavior",NA,1,NA,"hM3Dq",NA
"229","229R","#229",2.11362080766598,1.34428473648186,"Behavior",NA,1,"p.o.","hM4Di",NA
"229","229R","#229",2.12457221081451,1.35523613963039,"Behavior",NA,1,"i.m.","hM4Di",NA
"163","163R","#163",3.1129363449692,1.88364134154689,"euthanize",NA,NA,NA,"hM4Di",NA
"229","229R","#229",2.13278576317591,1.36344969199179,"Behavior",NA,1,"p.o.","hM4Di",NA
"229","229R","#229",2.14373716632444,1.37440109514031,"Behavior",NA,0,"p.o.","hM4Di",NA
"229","229R","#229",2.15195071868583,1.38261464750171,"Behavior",NA,1,"i.m.","hM4Di",NA
"229","229R","#229",2.16563997262149,1.39630390143737,"Behavior",NA,1,"p.o.","hM4Di",NA
"229","229R","#229",2.17111567419576,1.40177960301164,"Behavior",NA,1,"i.m.","hM4Di",NA
"229","229R","#229",2.18480492813142,1.4154688569473,"Behavior",NA,1,"p.o.","hM4Di",NA
"229","229R","#229",2.20123203285421,1.43189596167009,"Behavior",NA,1,"p.o.","hM4Di",NA
"229","229R","#229",2.217659137577,1.44832306639288,"Behavior",NA,1,"p.o.","hM4Di",NA
"229","229R","#229",2.22861054072553,1.45927446954141,"Behavior",NA,1,"i.m.","hM4Di",NA
"236","236J","#236",1.782340862423,NA,"Behavior",NA,1,NA,"hM3Dq",NA
"229","229R","#229",2.25598904859685,1.48665297741273,"Behavior",NA,1,"p.o.","hM4Di",NA
"236","236J","#236",1.79329226557153,NA,"Behavior",NA,1,NA,"hM3Dq",NA
"215","215R","#215",2.39835728952772,NA,"Behavior",NA,1,"i.m.","hM3Dq",NA
"229","229R","#229",2.26420260095825,1.49486652977413,"Behavior",NA,1,"i.m.","hM4Di",NA
"215","215R","#215",2.40930869267625,NA,"Behavior",NA,1,"i.m.","hM3Dq",NA
"229","229R","#229",2.27515400410678,1.50581793292266,"Behavior",NA,1,"i.m.","hM4Di",NA
"229","229R","#229",2.28062970568104,1.51129363449692,"Behavior",NA,1,"p.o.","hM4Di",NA
"236","236J","#236",1.81519507186858,NA,"Behavior",NA,1,NA,"hM3Dq",NA
"229","229R","#229",2.2861054072553,1.51676933607118,"Behavior",NA,1,"p.o.","hM4Di",NA
"229","229R","#229",2.3025325119781,1.53319644079398,"Behavior",NA,1,"micro infusion","hM4Di",NA
"229","229R","#229",2.30527036276523,1.53593429158111,"Behavior",NA,1,"micro infusion","hM4Di",NA
"215","215R","#215",2.45311430527036,NA,"Behavior",NA,1,"i.m.","hM3Dq",NA
"236","236J","#236",1.85352498288843,NA,"Behavior",NA,1,NA,"hM3Dq",NA
"255","255C","#255",0,0,"PET","DCZ",NA,NA,NA,NA
"229","229R","#229",2.35181382614648,1.58247775496235,"Behavior",NA,1,"micro infusion","hM4Di",NA
"229","229R","#229",2.35455167693361,1.58521560574949,"Behavior",NA,1,"micro infusion","hM4Di",NA
"229","229R","#229",2.35728952772074,1.58795345653662,"Behavior",NA,1,"p.o.","hM4Di",NA
"229","229R","#229",2.362765229295,1.59342915811088,"Behavior",NA,1,"micro infusion","hM4Di",NA
"229","229R","#229",2.36550308008214,1.59616700889802,"Behavior",NA,1,"micro infusion","hM4Di",NA
"229","229R","#229",2.3709787816564,1.60164271047228,"Behavior",NA,1,"p.o.","hM4Di",NA
"236","236J","#236",1.90828199863107,NA,"Behavior",NA,1,NA,"hM3Dq",NA
"229","229R","#229",2.3791923340178,1.60985626283368,"Behavior",NA,1,"p.o.","hM4Di",NA
"215","215R","#215",2.5160848733744,NA,"Behavior",NA,1,"i.m.","hM3Dq",NA
"215","215R","#215",2.53524982888433,NA,"Behavior",NA,1,"i.m.","hM3Dq",NA
"229","229R","#229",2.43668720054757,1.66735112936345,"euthanize",NA,NA,NA,"hM4Di",NA
"236","236J","#236",1.99315537303217,NA,"Behavior",NA,1,NA,"hM3Dq",NA
"236","236J","#236",2.00136892539357,NA,"Behavior",NA,1,NA,"hM3Dq",NA
"236","236J","#236",2.00958247775496,NA,"Behavior",NA,1,NA,"hM3Dq",NA
"236","236J","#236",2.04243668720055,NA,"PET","DCZ",NA,NA,"hM3Dq",NA
"236","236J","#236",2.06707734428474,NA,"Behavior",NA,1,NA,"hM3Dq",NA
"215","215R","#215",2.68309377138946,NA,"PET","DCZ",NA,NA,"hM3Dq",NA
"224","224J","#224",0,0,"PET","DCZ",NA,NA,"hM3Dq",NA
"236","236J","#236",2.08624229979466,NA,"Behavior",NA,1,NA,"hM3Dq",NA
"236","236J","#236",2.09993155373032,NA,"Behavior",NA,1,NA,"hM3Dq",NA
"224","224J","#224",0,0,"PET","FDG",1,"i.v.","hM3Dq",NA
"236","236J","#236",2.11635865845311,NA,"Behavior",NA,1,NA,"hM3Dq",NA
"236","236J","#236",2.12731006160164,NA,"Behavior",NA,1,NA,"hM3Dq",NA
"255","255C","#255",0.120465434633812,NA,"PET","DCZ",NA,NA,"hM3Dq","hM4Di"
"236","236J","#236",2.23682409308693,NA,"PET","FDG",1,"i.v.","hM3Dq",NA
"224","224J","#224",0,0,"Behavior",NA,1,NA,"hM3Dq",NA
"236","236J","#236",2.28062970568104,NA,"PET","FDG",1,"i.v.","hM3Dq",NA
"255","255C","#255",0.240930869267625,NA,"PET","FDG",0,"i.v.","hM3Dq","hM4Di"
"224","224J","#224",0,0,"Behavior",NA,1,NA,"hM3Dq",NA
"224","224J","#224",0,0,"Behavior",NA,1,NA,"hM3Dq",NA
"224","224J","#224",0,0,"Behavior",NA,1,NA,"hM3Dq",NA
"255","255C","#255",0.314852840520192,NA,"PET","DCZ",NA,NA,"hM3Dq","hM4Di"
"255","255C","#255",0.334017796030116,NA,"PET","FDG",1,"i.v.","hM3Dq","hM4Di"
"255","255C","#255",0.366872005475702,NA,"PET","DCZ",NA,NA,"hM3Dq","hM4Di"
"236","236J","#236",2.45037645448323,NA,"euthanize",NA,NA,NA,"hM3Dq",NA
"255","255C","#255",0.410677618069815,NA,"PET","FDG",0,"i.v.","hM3Dq","hM4Di"
"255","255C","#255",0.449007529089665,NA,"PET","FDG",1,"i.v.","hM3Dq","hM4Di"
"201","201R","#201",2.64750171115674,NA,"euthanize",NA,NA,NA,"hM4Di",NA
"224","224J","#224",0.772073921971253,0.172484599589322,"PET","FDG",1,"i.v.","hM3Dq","hM3Dq"
"224","224J","#224",0.785763175906913,0.186173853524983,"PET","DCZ",NA,NA,"hM3Dq","hM3Dq"
"255","255C","#255",0.711841204654346,NA,"PET","DCZ",NA,NA,"hM3Dq","hM4Di"
"224","224J","#224",0.810403832991102,0.210814510609172,"Behavior",NA,1,NA,"hM3Dq","hM3Dq"
"224","224J","#224",0.813141683778234,0.213552361396304,"Behavior",NA,1,NA,"hM3Dq","hM3Dq"
"224","224J","#224",0.824093086926763,0.224503764544832,"Behavior",NA,1,NA,"hM3Dq","hM3Dq"
"224","224J","#224",0.829568788501027,0.229979466119097,"Behavior",NA,1,NA,"hM3Dq","hM3Dq"
"224","224J","#224",0.843258042436687,0.243668720054757,"Behavior",NA,1,NA,"hM3Dq","hM3Dq"
"224","224J","#224",0.867898699520876,0.268309377138946,"Behavior",NA,1,NA,"hM3Dq","hM3Dq"
"224","224J","#224",0.887063655030801,0.287474332648871,"Behavior",NA,1,NA,"hM3Dq","hM3Dq"
"224","224J","#224",0.900752908966461,0.301163586584531,"Behavior",NA,1,NA,"hM3Dq","hM3Dq"
"255","255C","#255",0.845995893223819,NA,"PET","DCZ",1,"i.v.","hM3Dq","hM4Di"
"255","255C","#255",0.906228610540726,NA,"PET","DCZ",0,"i.v.","hM3Dq","hM4Di"
"255","255C","#255",0.960985626283368,NA,"PET","DCZ",1,"i.v.","hM3Dq","hM4Di"
"255","255C","#255",1.00205338809035,NA,"PET","DCZ",0,"i.v.","hM3Dq","hM4Di"
"255","255C","#255",1.01848049281314,NA,"PET","DCZ",1,"i.v.","hM3Dq","hM4Di"
"245","245J","#245",2.10266940451745,NA,"euthanize",NA,NA,NA,"hM4Di",NA
"255","255C","#255",1.09514031485284,NA,"PET","DCZ",1,"i.v.","hM3Dq","hM4Di"
"215","215R","#215",3.77549623545517,NA,"euthanize",NA,NA,NA,"hM3Dq",NA
